Nome,Squadra,Ruolo,Media,ALG FCP,Punteggio FantaCalcioPedia,Solidità fantainvestimento,Resistenza infortuni,Ultimi Arrivi,In Crescita,Rischiosi,Fuoriclasse,Outsider,Titolari,Economici,Giovani,Infortunati,Buona Media,Goleador,Assistman,Rigorista,Sp. Piazzati,Presenze previste,Gol previsti,Assist previsti
BREKALO JOSIP,Fiorentina,A,58.25,63,70,40,60,,,,,,,,,,Buona Media,,,,,11/20,3/5,3/5
Caprari,Monza,A,58.25,59,74,60,40,,,,,,,,,,Buona Media,,,Rigorista,,21/30,4/7,3/5
Krstovic,Lecce,A,58.0,70,62,40,60,,,,,Outsider,,,,,,Goleador,,Rigorista,,21/30,8/11,0/3
Luvumbo,Cagliari,A,58.0,69,63,40,60,,,,,,,,,,,,,,,11/20,3/5,3/5
TOURE EL BILAL,Atalanta,A,58.0,60,72,60,40,,,,,,,,,,,Goleador,,,,21/30,4/7,0/3
SANSONE NICOLA,Lecce,A,58.0,59,73,60,40,,,,,,,,,,Buona Media,,Assistman,Rigorista,,21/30,4/7,4/7
Esposito Se.,Empoli,A,57.75,66,65,40,60,,,,,Outsider,,,,,,Goleador,,,,11/20,4/7,3/5
Lucca,Udinese,A,57.25,65,64,40,60,,,,,,,,,,,Goleador,,Rigorista,,21/30,8/11,3/5
STREFEZZA GABRIEL,Como,A,56.75,65,62,40,60,,,,,,,,,,,,Assistman,,,21/30,8/11,0/3
Noslin,Lazio,A,56.25,67,58,40,60,,,,,,,,,,,Goleador,Assistman,,,21/30,3/5,3/5
TCHAOUNA LOUM,Lazio,A,56.0,65,59,40,60,,,,,Outsider,,,,,,,Assistman,,,11/20,3/5,3/5
Sanchez,Udinese,A,56.0,63,81,40,40,,,,,Outsider,,,,,Buona Media,,Assistman,,,11/20,8/11,4/7
Pavoletti,Cagliari,A,55.75,55,68,40,60,,,,,,,,,,Buona Media,,,,,11/20,4/7,0/3
RADONJIC NEMANJA,Torino,A,55.5,56,66,60,40,,,,,,,,,,,,Assistman,,,21/30,3/5,3/5
Yildiz,Juventus,A,55.5,64,58,40,60,,,,,,,,,,,,,,,21/30,8/11,3/5
MARCHWINSKI FILIP,Lecce,A,55.25,60,61,40,60,,,,,Outsider,,,,,,,,,,11/20,0/3,0/3
Pierini,Venezia,A,55.0,58,62,40,60,,,,,,,,,,,,Assistman,,,21/30,0,0
MBANGOULA SAMUEL,Juventus,A,55.0,75,65,20,60,,,,,Outsider,,,,,,Goleador,,,,21/30,3/5,3/5
FADERA ALIEU,Como,A,55.0,59,61,40,60,,,,,Outsider,,,,,,,Assistman,,,11/20,3/5,3/5
Charpentier,Parma,A,55.0,58,62,40,60,,,,,,,,,,,,,,,11/20,3/5,0/3
Almqvist,Parma,A,55.0,58,62,40,60,,,,,,,,,,,,,,,11/20,3/5,3/5
DEULOFEU GERARD,Udinese,A,54.75,67,72,40,40,,,,,,,,,,Buona Media,Goleador,Assistman,Rigorista,,21/30,8/11,8/11
Mihaila,Parma,A,54.75,52,67,40,60,,,,,Outsider,,,,,,,,,,21/30,3/5,0/3
DA CUNHA LUCAS,Como,A,54.5,66,72,20,60,,,,,Outsider,,,,,,Goleador,,,,21/30,3/5,4/7
MALDINI DANIEL,Monza,A,54.5,57,61,40,60,,,,,Outsider,,,,,,,,,,21/30,3/5,3/5
Colombo,Empoli,A,54.5,51,67,40,60,,,,,Outsider,,,,,,Goleador,,Rigorista,,11/20,3/5,3/5
MESSIAS JUNIOR,Genoa,A,54.25,52,65,40,60,,,,,Outsider,,,,,,Goleador,Assistman,Rigorista,,21/30,4/7,3/5
Tengstedt,Verona,A,54.25,73,64,20,60,,,,,Outsider,,,,,,Goleador,,,,21/30,4/7,3/5
MORENTE TETE,Lecce,A,54.0,53,63,40,60,,,,,,,,,,,,,,,11/20,3/5,0/3
TRAORE CHAKA,Milan,A,53.75,58,57,40,60,,,,,Outsider,,,,,,,,,,0/10,0/3,0/3
COLAK ANTONIO,Parma,A,53.75,56,59,40,60,,,,,,,,,,,,,,,11/20,0/3,0/3
KASTANOS GRIGORIS,Verona,A,53.5,54,60,40,60,,,,,,,,,,,,,,,11/20,0/3,0/3
FAZZINI JACOPO,Empoli,A,53.25,59,54,20,80,,,,,Outsider,,,,,,,,,,11/20,3/5,3/5
Mota,Monza,A,53.25,69,64,40,40,,,,,,,,,,Buona Media,,,,,21/30,4/7,0/3
Taremi,Inter,A,53.25,65,68,40,40,,,,,,,,,,Buona Media,,Assistman,,,11/20,4/7,3/5
Belotti,Como,A,53.25,63,70,40,40,,,,,,,,,,,Goleador,,Rigorista,,11/20,4/7,3/5
VIGNATO SAMUELE,Monza,A,53.0,51,61,40,60,,,,,Outsider,,,,,,,,,,0/10,0/2,0/2
Lookman,Atalanta,A,53.0,85,47,40,40,,,,Fuoriclasse,,,,,,Buona Media,Goleador,,,,21/30,8/11,4/7
MITROVIC STEFAN,Verona,A,52.75,53,58,40,60,,,,,,,,,,,,Assistman,,,11/20,0/3,0/3
Davis K.,Udinese,A,52.75,47,64,40,60,,,,,,,,,,,,,,,11/20,3/5,0/2
DELE-BASHIRU FISAYO,Lazio,A,52.0,69,59,20,60,,,,,Outsider,,,,,,Goleador,,,,11/20,3/5,0/3
GONZALEZ DIEGO,Lazio,A,51.75,67,60,40,40,,,,,,,,,,,Goleador,Assistman,,,11/20,0/3,0/3
Pierotti,Lecce,A,51.75,48,59,40,60,,,,,,,,,,,,,,,0/10,0/3,0/3
Ekuban,Genoa,A,50.75,59,64,40,40,,,,,,,,,,,,,,,11/20,3/5,3/5
Tavsan,Verona,A,50.75,48,55,40,60,,,,,,,,,,,,,,,0/10,0/3,0/3
VITINHA VITOR MANUEL,Genoa,A,50.25,40,61,40,60,,,,,Outsider,,,,,,,Assistman,,,21/30,4/7,3/5
RAFIA HAMZA,Lecce,A,49.75,54,65,40,40,,,,,,,,,,,,,,,11/20,0/3,0/3
Castro S.,Bologna,A,49.75,57,62,20,60,,,,,,,,,,,Goleador,,,,0/10,3/5,0/3
Success,Udinese,A,49.5,57,61,40,40,,,,,,,,,,,,,,,11/20,0/3,0/3
Shpendi S.,Empoli,A,49.5,39,59,40,60,,,,,,,,,,,,,,,0/10,0/3,0/3
OUDIN REMI,Lecce,A,49.0,64,52,40,40,,,,,,,,,,,,Assistman,,,11/20,3/5,0/3
COSTA JOAO,Roma,A,48.75,59,56,20,60,,,,,,,,,,,,,,,0/10,0/2,0/2
Burnete,Lecce,A,48.0,60,52,20,60,,,,,,,,,,,,,,,0/10,0/3,0/3
Partipilo,Parma,A,48.0,51,61,40,40,,,,,,,,,,,,,,,11/20,0/3,0/3
YALCIN GUVEN,Genoa,A,47.75,55,56,20,60,,,,,,,,,,,,,,,0/10,0/3,0/3
FINI SEYDOU,Genoa,A,47.75,55,56,20,60,,,,,,,,,,,,,,,0/10,0/3,0/3
CHAJIA MOUTIR,Como,A,47.5,52,58,20,60,,,,,,,,,,,,,,,0/10,0/3,0/3
BJARKASON BJARKI STEINN,Venezia,A,46.5,50,56,20,60,,,,,,,,,,,,,,,0/10,0/2,0/2
Brenner,Udinese,A,46.5,44,62,40,40,,,,,,,,,,,Goleador,,Rigorista,,21/30,8/11,3/5
CORFITZEN JEPPE,Lecce,A,46.25,51,54,20,60,,,,,,,,,,,,,,,0/10,0/3,0/3
Ankeye,Genoa,A,44.0,36,60,20,60,,,,,,,,,,,Goleador,,,,0/10,0/3,0/3
Banda,Lecce,A,43.0,48,44,40,40,,,,,,,,,,,,,,,11/20,0/3,3/5
EKONG EMMANUEL,Empoli,A,35.5,0,62,20,60,,,,,,,,,,,,,,,11/20,3/5,3/5
Raimondo,Venezia,A,34.75,0,59,20,60,,,,,,,,,,,,,,,11/20,3/5,0/3
